,team_id,Team,PPDA,OPPDA
0,9875,Napoli,9.42,16.65
1,8543,Lazio,15.0,13.67
2,9885,Juventus,13.44,12.28
3,8636,Inter,9.72,18.1
4,8524,Atalanta,11.45,12.43
5,8564,AC Milan,9.22,13.05
6,8686,Roma,12.43,10.61
7,8535,Fiorentina,8.36,11.38
8,9857,Bologna,9.93,13.41
9,6504,Monza,11.0,12.54
10,9804,Torino,11.67,13.93
11,7943,Sassuolo,13.91,11.12
12,8600,Udinese,12.45,10.03
13,6480,Salernitana,14.47,9.79
14,8534,Empoli,12.83,10.02
15,9888,Lecce,11.16,8.29
16,9876,Verona,12.42,8.35
17,9881,Spezia,10.97,9.88
18,7801,Cremonese,12.59,9.57
19,9882,Sampdoria,11.85,9.05
